series_instance_uid,num_files,op,tag,val1,val2,Operation,edit_description,notify,activity_id
1.3.6.1.4.1.14519.5.2.1.235989918406583200035185817727110465882,1013,,,,,BackgroundEditTp,From PHI Scan: 3791,bcamp,1488
1.3.6.1.4.1.14519.5.2.1.188968668765231967002310722918970558525,1013,,,,,,,,
,,delete_tag,"<(0008,0202)>",<>,<>,,,,
,,set_tag,"<(0013,""CTP"",13)>",<21113544>,<>,,,,
,,string_replace,"<(0008,0014)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,0018)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1111)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000d)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000e)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,0052)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,set_tag,"<(0018,0015)>",<WHOLEBODY>,<>,,,,
1.3.6.1.4.1.14519.5.2.1.127957588304963030859433555461424868818,360,,,,,,,,
1.3.6.1.4.1.14519.5.2.1.146216004729356571649853373299791948389,360,,,,,,,,
,,delete_tag,"<(0008,3010)>",<>,<>,,,,
,,delete_tag,"<(0032,1030)>",<>,<>,,,,
,,set_tag,"<(0013,""CTP"",13)>",<21113544>,<>,,,,
,,string_replace,"<(0008,0018)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1110)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1140)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000d)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000e)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,0052)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,set_tag,"<(0018,0015)>",<ABDOMENPELVIS>,<>,,,,
1.3.6.1.4.1.14519.5.2.1.207408838971388642307688588151631309681,248,,,,,,,,
1.3.6.1.4.1.14519.5.2.1.186329884682906603691632348089107978549,248,,,,,,,,
,,delete_tag,"<(0008,3010)>",<>,<>,,,,
,,delete_tag,"<(0032,1030)>",<>,<>,,,,
,,set_tag,"<(0013,""CTP"",13)>",<21113544>,<>,,,,
,,string_replace,"<(0008,0018)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1110)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1140)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000d)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000e)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,0052)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,set_tag,"<(0018,0015)>",<CHEST>,<>,,,,
1.3.6.1.4.1.14519.5.2.1.128755267222664559333875065391759740520,8,,,,,,,,
,,delete_tag,"<(0008,3010)>",<>,<>,,,,
,,delete_tag,"<(0032,1030)>",<>,<>,,,,
,,set_tag,"<(0013,""CTP"",13)>",<21113544>,<>,,,,
,,string_replace,"<(0008,0018)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1110)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000d)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000e)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,0052)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,set_tag,"<(0018,0015)>",<ABDOMENPELVIS>,<>,,,,
1.3.6.1.4.1.14519.5.2.1.236847508555786299728916903182061797706,460,,,,,,,,
1.3.6.1.4.1.14519.5.2.1.282245249616931424555171960130414522936,724,,,,,,,,
