series_instance_uid,num_files,op,tag,val1,val2,Operation,edit_description,notify,activity_id
1.3.6.1.4.1.14519.5.2.1.274532806557990223604456905313511928056,6,,,,,,,,
,,set_tag,"<(0013,""CTP"",13)>",<21113544>,<>,,,,
,,string_replace,"<(0008,0018)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1110)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000d)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000e)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,0052)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,set_tag,"<(0018,0015)>",<HEADNECK>,<>,,,,
1.3.6.1.4.1.14519.5.2.1.65945509744125834222360281357966661515,775,,,,,,,,
,,set_tag,"<(0013,""CTP"",13)>",<21113544>,<>,,,,
,,string_replace,"<(0008,0018)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0008,1140)[<0>](0008,1155)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000d)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,000e)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,string_replace,"<(0020,0052)>",<1.3.6.1.4.1.14519.5.2.1>,<1.3.6.1.4.1.14519.5.2.1.2111.3544>,,,,
,,set_tag,"<(0018,0015)>",<WHOLEBODY>,<>,,,,
